index,diff_HU,diff_IT,diff_PO,diff_SP,diff_UK,diff_DE,diff_DK,diff_SE,diff_NE,max_diff_char,max_diff_value,mapped_country_code
2022010212,-16172,-16129.0,-13023.0,-10790,-813.0,-18226,-1978.0,-5357.0,-30588,UK,-813.0,9
2022010213,-17585,-17605.0,-13038.0,-10232,-905.0,-17488,-1807.0,-5556.0,-31223,UK,-905.0,9
2022010214,-19021,-19091.0,-13087.0,-11580,-882.0,-20149,-1448.0,-5885.0,-32398,UK,-882.0,9
2022010215,-20657,-19503.0,-12201.0,-14943,-854.0,-28865,-1295.0,-6175.0,-36004,UK,-854.0,9
2022010216,-20770,-20276.0,-11722.0,-18024,-938.0,-37294,-546.0,-6233.0,-39608,DK,-546.0,9
2022010217,-20679,-20912.0,-11826.0,-18102,-1223.0,-33681,364.0,-6081.0,-38492,DK,364.0,3
2022010218,-20410,-20218.0,-11729.0,-18644,-1319.0,-29114,702.0,-5542.0,-36715,DK,702.0,3
2022010219,-19667,-20070.0,-10970.0,-18820,-1108.0,-19955,754.0,-5531.0,-34703,DK,754.0,3
2022010220,-18633,-18079.0,-10283.0,-18093,-929.0,-20916,613.0,-5295.0,-32243,DK,613.0,3
2022010221,-17639,-15956.0,-9216.0,-16609,-790.0,-18876,389.0,-6140.0,-30272,DK,389.0,3
2022010222,-16442,-13127.0,-8421.0,-16028,-636.0,-11353,221.0,-7143.0,-27292,DK,221.0,3
2022010223,-15311,-11580.0,-8283.0,-14320,-457.0,-2157,79.0,-6971.0,-26000,DK,79.0,3
2022010300,-14496,-10922.0,-8377.0,-12849,-264.0,-368,-35.0,-6911.0,-26101,DK,-35.0,9
2022010301,-14028,-10443.0,-8807.0,-11915,-147.0,-2993,12.0,-6989.0,-25615,DK,12.0,3
2022010302,-14219,-10746.0,-9695.0,-11514,-115.0,-6138,339.0,-6954.0,-25643,DK,339.0,3
2022010303,-15058,-12333.0,-11168.0,-12535,-61.0,-10575,728.0,-6933.0,-25759,DK,728.0,3
2022010304,-16991,-18117.0,-14329.0,-15152,-46.0,-14355,605.0,-6397.0,-27540,DK,605.0,3
2022010305,-20098,-21800.0,-16745.0,-18030,-65.0,-27491,261.0,-6127.0,-31006,DK,261.0,3
2022010306,-20839,-23414.0,-17730.0,-19518,-125.0,-47803,83.0,-6426.0,-35849,DK,83.0,3
2022010307,-21221,-24850.0,-18474.0,-18634,-305.0,-57788,681.0,-6472.0,-39881,DK,681.0,3
2022010308,-21704,-24977.0,-18158.0,-16737,-476.0,-59306,834.0,-6591.0,-40967,DK,834.0,3
2022010309,-21793,-24889.0,-18069.0,-14969,-624.0,-60476,1026.0,-6560.0,-39721,DK,1026.0,3
2022010310,-21302,-24104.0,-17723.0,-13584,-805.0,-60328,1248.0,-6611.0,-38167,DK,1248.0,3
2022010311,-21056,-24012.0,-17697.0,-12555,-916.0,-62305,1312.0,-6554.0,-38483,DK,1312.0,3
2022010312,-20195,-25377.0,-17587.0,-11667,-992.0,-66235,1266.0,-6449.0,-38920,DK,1266.0,3
2022010313,-21001,-26675.0,-17455.0,-10561,-1104.0,-74524,1357.0,-6637.0,-40402,DK,1357.0,3
2022010314,-22056,-27922.0,-17989.0,-11824,-1114.0,-78391,1161.0,-6634.0,-42117,DK,1161.0,3
2022010315,-23144,-28541.0,-18041.0,-14974,-1114.0,-81416,947.0,-6491.0,-44851,DK,947.0,3
2022010316,-23050,-28552.0,-18026.0,-17370,-1181.0,-90799,825.0,-6078.0,-47854,DK,825.0,3
2022010317,-22784,-28947.0,-18229.0,-17334,-1533.0,-93606,610.0,-5530.0,-45460,DK,610.0,3
2022010318,-22442,-27490.0,-17867.0,-17425,-1635.0,-92469,455.0,-5256.0,-43209,DK,455.0,3
2022010319,-21756,-25870.0,-16411.0,-16642,-1426.0,-85413,135.0,-5037.0,-41120,DK,135.0,3
2022010320,-20825,-22825.0,-15012.0,-14060,-1285.0,-77056,40.0,-4492.0,-39301,DK,40.0,3
2022010321,-19877,-19987.0,-13629.0,-11912,-1119.0,-71345,-66.0,-4055.0,-37267,DK,-66.0,9
2022010322,-18777,-17687.0,-12867.0,-9879,-927.0,-65480,-339.0,-4775.0,-35170,DK,-339.0,9
2022010323,-17559,-16276.0,-12459.0,-7074,-722.0,-52462,-555.0,-5013.0,-33649,DK,-555.0,9
2022010400,-16644,-15240.0,-12434.0,-4603,-534.0,-50071,-693.0,-5331.0,-33439,UK,-534.0,9
2022010401,-15923,-14395.0,-12418.0,-3692,-396.0,-59136,-666.0,-5283.0,-32781,UK,-396.0,9
2022010402,-15690,-14078.0,-12966.0,-3735,-377.0,-70351,-784.0,-5100.0,-33609,UK,-377.0,9
2022010403,-16443,-15418.0,-14006.0,-5246,-329.0,-87834,-1241.0,-5360.0,-35263,UK,-329.0,9
2022010404,-18406,-19536.0,-16590.0,-8571,-291.0,-109973,-1734.0,-5876.0,-37645,UK,-291.0,9
2022010405,-21287,-23146.0,-18751.0,-11704,-283.0,-136501,-2109.0,-6791.0,-42563,UK,-283.0,9
2022010406,-22113,-25663.0,-19725.0,-12340,-393.0,-151637,-2479.0,-6782.0,-48139,UK,-393.0,9
2022010407,-21475,-26523.0,-20410.0,-12434,-665.0,-163097,-2389.0,-6798.0,-53428,UK,-665.0,9
2022010408,-20706,-25641.0,-20856.0,-11901,-1027.0,-165416,-2297.0,-6809.0,-54397,UK,-1027.0,9
2022010409,-20685,-24645.0,-21167.0,-10862,-1282.0,-163291,-2024.0,-7030.0,-55867,UK,-1282.0,9
2022010410,-20950,-23566.0,-21659.0,-10393,-1420.0,-167324,-1613.0,-6840.0,-55055,UK,-1420.0,9
2022010411,-21646,-23112.0,-21739.0,-10561,-1452.0,-167243,-1702.0,-6767.0,-54547,UK,-1452.0,9
2022010412,-21570,-23859.0,-21539.0,-9575,-1470.0,-163240,-1454.0,-6801.0,-53724,DK,-1454.0,9
2022010413,-21863,-25336.0,-21435.0,-9062,-1528.0,-161906,-1231.0,-7696.0,-53450,DK,-1231.0,9
2022010414,-22336,-27163.0,-21822.0,-9321,-1475.0,-158474,-1408.0,-8262.0,-54536,DK,-1408.0,9
2022010415,-23058,-27941.0,-21449.0,-10656,-1470.0,-156269,-1524.0,-8534.0,-54740,UK,-1470.0,9
2022010416,-22735,-28134.0,-20715.0,-12901,-1559.0,-156224,-994.0,-8234.0,-58062,DK,-994.0,9
2022010417,-22473,-28057.0,-20363.0,-12932,-1857.0,-158886,-124.0,-7645.0,-53086,DK,-124.0,9
2022010418,-22050,-26606.0,-19530.0,-12369,-558.0,-150130,500.0,-7178.0,-48389,DK,500.0,3
2022010419,-21217,-24228.0,-17998.0,-11136,-390.0,-134647,961.0,-6602.0,-45303,DK,961.0,3
2022010420,-20395,-21012.0,-16650.0,-8964,-1518.0,-125098,1221.0,-5922.0,-41231,DK,1221.0,3
2022010421,-19361,-18117.0,-15185.0,-7379,-1315.0,-109805,1403.0,-5250.0,-37135,DK,1403.0,3
2022010422,-18245,-15178.0,-13990.0,-6719,-1099.0,-89705,1597.0,-5051.0,-34272,DK,1597.0,3
2022010423,-17057,-13496.0,-13543.0,-4447,-835.0,-72902,1810.0,-4738.0,-31590,DK,1810.0,3
2022010500,-16304,-12446.0,-13487.0,-3561,-588.0,-53664,1180.0,-4531.0,-29418,DK,1180.0,3
2022010501,-15740,-12001.0,-13689.0,-3346,-461.0,-41073,998.0,-4612.0,-28739,DK,998.0,3
2022010502,-15649,-12406.0,-14300.0,-3461,-445.0,-38590,877.0,-4749.0,-28098,DK,877.0,3
2022010503,-16486,-13878.0,-15130.0,-4719,-404.0,-44043,749.0,-5129.0,-28307,DK,749.0,3
