StartDate,dataHour,green_energy_HU,green_energy_IT,green_energy_PO,green_energy_SP,green_energy_UK,green_energy_DE,green_energy_DK,green_energy_SE,green_energy_NE,load_HU,load_IT,load_PO,load_SP,load_UK,load_DE,load_DK,load_SE,load_NE
2022-05-23,19,905,9303,3971,55524,0,146766,3580,11666,5082,21075,33818,19575,116851,909,231850,3755,12782,51793
2022-12-18,6,912,6796,1471,51436,1472,89650,4947,15450,7654,19587,26111,19606,83160,0,196000,4325,17345,47543
2022-03-27,13,5467,11883,5026,18841,589,161007,4062,12803,3058,16250,23931,16660,22936,1554,190431,3449,15142,26775
2022-07-31,15,2589,12350,2762,68868,0,101993,1234,10890,12187,16409,33400,16552,112448,0,181136,3769,11841,44343
2022-10-15,14,1170,4791,2783,81608,0,119521,3230,9757,13609,19815,27680,19013,88540,0,196421,3784,12575,42917
2022-12-15,8,1061,10528,2025,55972,521,98357,1469,12461,5742,25332,43275,26628,124704,0,285592,5244,22281,63207
2022-10-14,6,2443,12293,3500,32440,0,77722,1408,9715,2541,20683,38249,22788,110560,0,243748,4381,12871,55452
2022-07-27,0,513,6488,1943,45104,0,71931,4288,9360,2431,16002,31571,15666,104856,0,165456,2758,10076,41957
2022-02-12,1,1348,6086,3064,3416,2389,63613,3789,13799,7098,18574,25012,17570,22966,1097,204050,3597,17124,43058
2022-03-16,19,1048,4035,1974,17264,252,136418,3483,12690,10715,23910,36820,22418,31975,2458,262284,4297,18187,54967
2022-03-21,19,705,6361,2665,16387,1959,85141,1917,12445,2584,24525,36395,21821,31518,2287,252627,4206,16699,54668
2022-05-15,9,7266,17694,7558,26281,0,192457,2072,11972,3481,15653,25818,15293,23467,1614,201660,3586,12290,25620
2022-03-28,17,836,5957,5849,12009,175,85071,4207,13057,1201,23911,38962,23605,30151,2117,260160,4216,17544,53787
2022-08-24,8,4411,17579,4226,57512,0,144862,3227,10923,1771,20318,37119,22778,124496,0,244429,4578,13935,41716
2022-01-02,2,645,5613,3607,10124,0,142190,3817,11090,15153,14142,17737,13326,17539,525,162753,3063,14706,38236
2022-04-22,8,2913,16060,5909,15769,0,179732,5288,11788,11583,23284,40024,23296,30335,1920,262470,4503,14578,40909
2022-09-05,9,6515,14716,7027,82704,0,196875,4942,10468,3255,18220,39215,20214,124104,0,255412,4427,14384,38118
2022-08-16,7,5945,15417,4959,56592,0,122150,1553,12195,2430,19305,29959,22233,107356,0,237584,4726,14952,42524
2022-04-01,9,3077,17247,8830,26298,694,179928,3753,12279,15968,23456,39445,24795,31481,2257,303827,4607,18459,55676
2022-05-27,3,935,7580,4400,51252,0,136738,3386,10336,9599,17612,30396,18603,90280,1068,176152,3153,12486,39001
2022-02-19,9,2154,10997,5598,19445,53,270545,4608,14044,16115,23515,33642,19818,29465,1929,252694,4645,19153,44497
2022-03-13,17,1234,7426,4569,10325,2765,132593,4779,13416,8709,22468,33918,20209,26234,1885,230154,4293,18136,51632
2022-07-11,15,3023,12161,3520,67260,0,103634,1708,10465,1127,20032,42214,20563,139864,1726,232474,4101,12910,44915
2022-07-10,17,1717,10193,2802,59880,0,94838,1914,11153,2825,18162,31966,16573,112760,1580,192422,3323,11844,43349
2022-04-22,6,1745,15150,4678,13879,0,143882,4238,12505,11305,23291,40243,23395,30107,1649,259551,4652,15452,46676
2022-07-04,23,698,5642,1283,49220,0,59933,2458,10575,1908,18711,31030,16360,99744,1252,173005,2881,10944,43313
2022-08-12,8,6824,12774,6230,50040,0,167329,1894,10020,2440,17812,32847,21491,121120,0,239857,4523,13969,37392
2022-09-14,5,1603,11430,3931,35904,0,65608,3633,11246,1721,19858,40524,21115,115116,0,236617,4162,14746,51390
2022-03-11,17,768,7730,4186,12834,653,193916,4903,13302,16222,26044,43059,25049,31679,2281,278344,4763,18349,57202
2022-04-05,2,784,4500,7375,14109,0,161631,4679,13451,7448,19139,27285,18992,23862,1110,216008,3785,17645,40809
2022-08-03,22,633,4741,2782,44724,0,37041,992,8656,1866,17295,30984,15803,110688,0,173340,2920,9971,46101
2022-08-02,12,5898,15892,5230,70484,0,217650,3076,11458,11922,19827,44559,21037,144128,0,242819,4336,12362,34923
2022-10-26,5,1011,10121,2105,37880,3071,85692,900,12481,9530,21778,37452,22629,110176,0,240181,4386,16004,50558
2022-03-11,19,783,4140,3720,11169,394,175211,4641,13324,15741,25121,37141,22714,31634,2474,257365,4381,17174,53304
2022-04-29,23,681,6228,1686,10368,0,55495,1004,10342,6233,17004,24065,16353,21154,1280,172648,2998,13577,41732
2022-03-08,10,4821,17310,3902,15290,3876,203888,2126,12479,11238,23206,42489,23998,32408,2298,279427,4790,19002,39268
2022-05-29,12,2541,14952,3823,82916,0,161937,3108,9711,6614,17122,25263,16136,98404,1480,188248,3025,12104,34531
2022-02-21,21,928,8009,6943,12154,2240,194013,4492,15515,12947,22332,30028,19730,27359,2148,246724,4159,19083,50570
2022-03-24,8,6704,14208,4958,15497,229,127132,1741,11866,1352,19825,38837,21164,31854,2041,265881,4662,17310,41732
2022-04-06,14,4423,7444,6107,25971,0,237352,5548,11751,15516,20629,36933,23140,29616,1027,271176,5054,18684,56437
2022-07-19,19,667,7542,1367,44516,0,102692,1693,10351,5268,21559,41383,20075,132856,0,217481,3252,11948,55809
2022-01-15,20,734,5718,1434,8462,0,53132,3017,14089,2825,22383,29969,19554,30290,2185,221372,3905,17145,52162
2022-04-02,23,1537,8088,2995,11181,9,57299,1835,11233,1772,17202,21951,15646,21209,1329,180111,3314,15589,41049
2022-05-07,7,3869,14202,4805,20086,0,109088,3908,12392,1238,18091,32439,19093,25472,1708,215604,3730,13168,37522
2022-08-07,18,960,9814,1874,51636,0,49953,774,10110,1003,19603,32965,17107,108828,0,178218,3363,12244,44795
2022-04-11,11,5301,16763,5479,29198,0,193929,3042,12825,5970,20327,36854,22608,29230,2094,260876,4360,16546,32920
2022-12-31,22,754,3422,5946,55252,489,165104,2242,8806,15939,16261,20555,13272,82064,0,161541,3440,13772,40415
2022-03-04,19,1052,4511,2275,14854,301,80865,1599,12890,7058,24870,37755,22925,31815,2529,255055,4170,17796,55039
2022-01-01,17,1287,9276,1990,11483,0,126662,4792,13225,16211,19117,28393,17898,24435,1977,208694,4133,17942,51429
2022-10-20,18,1476,3696,5333,67096,0,127631,4173,12223,7964,21694,33983,21223,124228,0,239526,3613,14766,52576
2022-08-03,9,7619,15181,6534,68060,0,218201,4560,12454,7952,19038,42362,21726,134688,0,257247,4535,12834,35535
2022-11-25,8,4211,9956,1154,63728,3121,105707,4240,12686,12283,21961,39741,25592,118464,0,262749,4794,18587,53654
2022-04-12,5,2848,10834,2972,12661,0,135791,2176,11192,8211,22611,39916,23049,28234,1611,253503,4726,18792,49986
2022-01-07,2,594,6395,3308,13809,0,160790,5478,12083,15867,18244,20816,16425,20647,1303,207491,3852,18365,43252
2022-12-14,1,714,6688,2637,85320,824,121407,3708,11257,2661,18905,25222,19162,89916,0,207899,3630,17552,45051
2022-08-12,5,2638,10087,3239,22680,0,81788,1035,10255,2839,18177,30898,20862,105828,0,217449,4318,13808,44191
2022-08-21,11,3250,20169,3532,82564,0,196471,3482,10571,4295,16996,25455,16946,103124,0,179947,3885,12277,27147
2022-04-06,8,6193,13046,5518,16391,0,222757,5799,12056,14873,20238,38698,24177,33527,2112,288945,5168,19242,55615
2022-01-03,10,2502,10591,5885,16915,0,218945,6382,13394,17297,23804,34695,23608,30499,1670,279273,5134,20005,55464
2022-05-22,13,5789,14089,5141,21170,0,163514,1622,8606,1555,15634,26629,15859,23425,1563,182474,3608,12719,25572
2022-11-07,6,1206,10661,4415,33612,2720,168962,4135,12540,17099,21252,36341,22503,105080,0,252483,4543,15565,52490
2022-08-06,23,1157,6106,1439,39888,0,53453,1475,9460,717,14863,26360,13646,94896,0,145238,2538,10268,40522
2022-03-16,22,814,4294,1986,19117,664,146094,4175,11496,12314,20932,27264,18732,24767,2034,222629,3661,15894,45465
2022-09-20,16,920,7692,3008,56844,0,59047,1106,10999,1872,22082,38255,22752,119200,0,230390,3903,14937,50758
2022-11-24,11,2439,12146,1080,70716,3530,100422,2219,12510,9373,24246,36573,26522,122836,0,264631,4785,19117,44571
2022-07-12,4,1612,8971,3853,27580,0,57480,1121,10087,1531,18660,37752,19896,109240,956,207596,3717,12541,43560
2022-10-10,10,7288,8275,9366,40020,0,177746,4039,12021,7685,17283,35241,20976,116068,0,253393,4279,12556,45266
2022-03-16,16,1207,5470,2417,14622,625,108395,2656,12012,11660,24246,41185,24231,30124,2191,265525,5036,19040,58615
2022-12-15,20,482,10950,858,59876,110,77740,1040,13276,9412,23131,33150,22433,124064,0,246184,4374,20928,57542
2022-08-06,11,8016,17898,6442,75580,0,197011,5023,11077,2063,17890,36958,17964,118496,0,201761,3707,11522,26593
2022-03-23,0,530,6768,1107,14048,1184,39560,980,11380,1268,18931,25231,17536,22062,1440,190184,3389,14951,40391
2022-03-15,3,931,4262,2117,15880,2269,54698,1284,11607,1437,16570,27230,19073,22735,1293,207263,3714,18134,41016
2022-02-27,20,986,6998,2196,6139,3654,113167,3123,13704,14451,21142,27995,18725,27751,2010,220686,4013,17171,49470
2022-06-27,16,1703,12232,3390,76556,0,100559,1888,10710,4776,24340,46111,22489,116960,2052,243905,4150,13699,46611
2022-10-25,20,780,5818,2785,50360,2742,71491,1593,11011,5628,19207,27904,17932,103456,0,200688,3224,12677,45671
2022-12-10,16,1107,12196,1175,55652,321,57602,1718,13299,1253,22335,34085,22302,105572,0,238205,4437,19719,61054
2022-10-04,12,4742,11639,6113,60816,0,198733,3740,11197,10418,18898,36534,21476,114500,0,238247,3961,13793,34938
2022-05-18,1,1013,7087,2092,6529,0,99597,3427,9970,4905,16078,25321,16276,22282,1020,186575,3139,11509,42097
2022-05-28,21,670,9161,3714,49320,0,103579,1733,10052,7942,16406,25434,15089,95464,1423,171859,2955,12101,42657
2022-04-20,4,1360,9660,2898,16156,0,77014,1646,11844,7518,22015,34237,22451,26500,1264,229213,4271,16298,45603
2022-10-10,23,797,3991,4567,11868,0,113768,4221,8039,3792,16165,23187,16109,85880,0,177817,3150,10853,40810
2022-02-03,17,1106,7812,3228,9421,2246,112613,3354,14209,8400,26724,44323,24992,33949,2359,293209,4913,22112,63533
2022-11-27,23,853,6380,1685,52392,1797,135486,3747,10349,5664,16531,21612,15929,86584,0,181138,3454,14547,41332
2022-02-06,5,1309,4496,6673,8459,2079,204046,4372,12269,17111,19452,25343,16145,22319,985,196639,3883,16851,42936
2022-12-07,11,3708,8753,4281,37852,59,117241,2448,11639,6936,23353,37660,25419,121964,0,278742,4647,20738,54096
2022-03-29,14,3023,7372,2630,9943,197,110098,2973,11804,2561,21156,36145,22733,28451,2140,254331,4554,17861,43677
2022-07-15,22,843,5297,2370,38024,0,69548,2594,11346,6146,17577,31568,15722,117780,1331,168514,2527,10314,44129
2022-01-05,22,1193,9560,4576,12611,0,159814,4032,14767,12236,20432,23797,17750,24523,2072,226271,4051,18215,48823
2022-09-17,2,694,9350,3827,54712,0,135849,2276,10292,15392,15220,26125,15158,85712,0,164317,2726,10916,38082
2022-12-09,2,631,9176,704,46924,278,67748,1485,11853,2312,17715,20742,18601,79216,0,195091,3544,17348,43671
2022-01-14,18,1736,10217,6405,10848,0,75160,3064,15113,554,25583,41521,24094,35627,2774,277808,4488,18749,60363
2022-05-16,23,724,6939,2131,8272,0,61394,2050,10019,4019,17197,25117,16100,22268,1195,181714,2995,11976,41933
2022-06-25,19,780,8375,3118,47216,0,56801,299,9314,914,19446,33377,18080,103628,1375,181818,3374,10970,46812
2022-12-07,9,3297,9677,4301,32244,71,121772,2753,11837,7092,23377,39446,25459,123148,0,277474,4735,21317,56002
2022-11-05,1,1453,6306,2823,39536,1648,79646,2775,11455,4996,15705,22793,15728,81116,0,163533,3186,11135,40216
2022-06-15,20,693,6324,1439,43720,0,58097,860,9734,4257,20542,34319,17702,129008,1701,199803,3140,12114,49043
2022-07-14,15,3141,12486,3546,67332,0,159810,4678,12445,5688,22671,44447,21399,146896,1797,246024,3983,13181,44971
2022-12-30,8,973,10981,7958,89332,2585,167577,4700,12016,18070,19685,30141,20279,108372,0,209754,4441,17632,54416
2022-10-29,2,583,4250,5033,64776,701,61979,2918,11569,1024,15492,22601,15525,77812,0,160777,2708,10882,38285
2022-01-21,9,5542,12511,7601,23408,0,147690,3880,15738,9175,24982,46428,25662,35654,2411,303495,5285,21637,60183
2022-05-05,11,6435,12380,4516,24125,0,141359,2049,12167,1603,18499,38215,21032,28908,2099,260467,3992,14780,37171
2022-06-12,16,1778,14109,1909,79368,0,120461,3398,11782,3999,18515,30883,17088,106184,823,194786,3665,12810,37987
2022-03-31,15,1089,8950,5429,24372,1902,147022,3041,11688,15223,23729,37442,23420,28317,2080,272113,4614,18081,60194
2022-03-23,21,598,4415,1933,13607,366,52862,816,12420,1282,21841,29802,19048,26168,2180,221190,3685,15384,47463
2022-06-04,15,2810,11757,2410,77756,0,117754,1114,9709,11333,18210,32486,17902,99324,1434,191820,3867,12388,34941
2022-03-06,15,1446,7531,1008,11080,765,72978,1702,14314,9858,21176,29235,19908,24560,1876,215759,4404,17810,42997
2022-01-22,5,1410,6351,4292,12218,0,109327,1779,12693,4780,21841,32824,20336,25529,1252,210164,4242,18632,45347
2022-01-12,18,873,11683,2629,15483,0,83444,4882,15501,2363,27033,42738,25191,35742,2900,287785,4782,19460,61842
2022-05-05,13,5053,11409,3778,24023,0,120122,2861,12304,1518,19724,37342,21811,27650,2005,251966,4347,14764,39330
2022-07-06,9,6284,17853,6472,80732,0,176085,4185,11497,2874,21155,46537,21727,131972,1911,257723,4480,14633,39078
2022-06-29,7,6079,17139,4195,55952,0,110302,1866,10090,2471,22651,46684,22524,120228,1975,251023,4594,14385,41814
2022-01-21,14,2167,8573,5832,23226,0,145763,3997,14668,8900,26272,43867,25516,33068,2373,288917,5225,21252,61095
2022-06-21,19,844,8640,2620,43852,0,56754,1429,10656,1215,21599,39061,19669,122416,1831,214454,3537,12863,49409
2022-08-17,7,6180,13765,5334,55232,0,105739,1564,10783,2944,19277,31773,22678,106848,0,241371,4624,15008,52332
2022-07-16,21,835,5782,3946,39344,0,82719,3235,11255,1130,16801,30807,14575,114560,1388,165228,2520,10780,44774
2022-11-01,18,769,6845,2677,24520,1537,143629,4499,12913,18107,18178,27133,16916,99164,0,218617,4022,14950,54862
2022-06-05,0,770,6402,1471,29108,0,71981,367,10047,9750,14491,22968,13574,82608,1114,143433,2749,10541,38610
2022-06-25,17,1050,11647,3094,78000,0,67139,291,9708,1131,19171,35316,18871,104248,1466,192490,3581,11694,46897
2022-02-28,18,1313,10445,2031,8817,533,125609,4343,15734,7861,25936,40609,24531,32464,2512,278280,4766,18605,58525
2022-11-11,9,5308,13818,5590,58932,2941,157385,4849,13627,13410,19619,37254,18276,114684,0,262843,4789,15359,51376
2022-02-16,8,3256,11734,7055,21840,2476,223464,3541,15153,17210,24394,44077,22457,33202,1806,300671,5527,20844,60396
2022-11-09,8,2573,11933,5460,43000,1108,166004,3986,13507,16156,22261,39471,22092,112188,0,261135,4460,16645,49694
2022-01-20,14,1878,8023,7059,19420,0,179556,5778,17312,15667,26932,44600,25456,33476,2458,299344,5402,22511,60531
2022-07-01,23,1125,6176,3020,38556,0,61478,2248,9150,7517,18439,30081,16307,96424,1217,168058,2775,9868,42279
2022-01-25,10,2499,14471,3688,14790,0,76241,2594,12938,563,27647,44117,25844,35466,2549,300265,4915,20504,64265
2022-09-16,6,1927,14569,8920,40672,0,156840,3611,12028,13105,20374,41998,21221,116800,0,249413,4194,14512,48283
2022-02-14,17,1422,8948,6231,18401,674,154753,6013,15266,16068,25838,43661,24144,33897,2385,293457,4873,19838,62173
2022-02-09,6,1757,10622,4786,10389,1806,159145,4405,15737,14791,24662,44341,23878,32874,1305,290310,5304,20053,56921
2022-01-08,8,1704,12314,3461,17256,0,117476,4708,13503,10402,23430,32033,21138,28682,1562,239720,4783,19531,52765
2022-09-03,8,6212,10652,7309,54904,0,191840,3272,10449,4886,15548,31034,18751,103448,0,211755,3890,12902,32394
2022-08-07,3,1035,6360,1345,29112,0,47556,1286,8645,784,13982,24651,13014,83980,0,139861,2548,10116,38394
2022-08-25,17,536,10848,2628,67892,0,81362,2308,10990,5449,22611,38221,23058,124840,0,231316,3885,13224,56064
2022-06-05,7,5370,13344,5804,67884,0,132025,1952,10534,5409,15213,28593,15683,89492,1328,178880,3864,12040,35270
2022-01-11,8,3002,16672,1551,17053,0,78118,3782,14990,6951,25839,46236,25763,33755,2202,289867,5569,22072,63545
2022-04-02,21,1589,8975,3579,12855,26,68275,1358,11680,3424,18943,24599,16749,23997,1638,197010,3453,15807,44763
2022-05-17,11,3934,15842,5850,22523,0,147431,3550,10229,1950,21182,37981,20912,29648,1969,265452,4402,14160,36427
2022-08-27,15,1974,8520,1948,67488,0,99621,1587,10645,8125,19746,32058,18925,109640,0,192969,3456,12525,42376
2022-05-11,14,4407,11697,4480,19822,0,242300,4259,12057,14839,20550,36269,21553,28261,1883,261010,4719,15413,43325
2022-10-26,14,1268,8067,1501,55724,1651,89744,1755,12045,12507,21473,36295,22327,112376,0,237724,4419,16125,49663
2022-06-11,17,1405,13269,1960,71804,0,85825,2769,10145,7594,19196,32246,18425,111684,1549,194561,3337,12031,41527
2022-01-31,0,1563,6439,4904,9667,2804,136493,1462,12993,16688,18199,22231,16118,22788,1285,202693,3458,17140,42925
2022-11-10,10,2447,8249,5388,59560,3254,194993,4012,11944,14511,21919,35589,23195,111956,0,266235,4502,15247,45612
2022-12-09,23,864,8103,870,73200,279,60358,1826,12497,2794,18612,23316,18209,93736,0,196092,3415,16912,47032
2022-12-13,21,786,5982,2238,77732,1312,109055,4145,12296,4742,22847,30361,20859,114700,0,237740,4027,18475,54427
2022-12-10,10,1290,10610,1445,72680,195,52488,2042,12912,2208,22881,31724,23032,105476,0,236415,4080,19255,56197
2022-12-30,3,580,6774,5770,77332,1930,146372,5665,10062,15459,15017,19388,15418,75976,0,162943,3392,14404,40029
2022-11-28,14,1088,7462,3748,120080,178,82822,5042,13620,1065,24351,42001,25029,118492,0,266352,4963,18947,60840
2022-12-13,8,3947,10546,4641,68892,89,83314,1591,15282,2187,23812,45102,26065,128240,0,283076,5361,22383,63748
2022-11-11,20,887,8579,3530,54316,177,103269,4518,12458,6711,20722,30162,16696,112368,0,212033,3682,12054,49433
2022-02-06,7,2571,8037,7177,11313,2600,218294,5054,12622,17085,21584,28835,17826,24630,528,217297,4290,17918,47697
2022-11-02,17,895,9787,4821,35892,3427,136390,3040,13200,15545,22301,37283,22439,115916,0,258487,4254,15354,57259
2022-09-19,5,1342,11406,2866,28936,0,142028,2356,12925,9973,20307,35855,21569,109924,0,236539,4131,14731,49051
2022-11-09,2,1094,4274,4112,45020,747,161564,3687,9485,16375,16121,23781,16632,82688,0,180332,3120,12669,39557
2022-09-23,3,543,5792,980,22000,0,60991,1990,10957,2898,18248,29796,19392,90260,0,191497,3520,13215,40517
2022-08-04,20,714,5709,4412,55792,0,62991,1405,10190,2271,19946,36050,17852,123328,0,202180,3196,10497,49835
2022-01-14,6,1541,12661,6784,10283,0,138906,4965,16002,4082,26322,45146,24720,34282,1479,294073,5362,19769,60293
2022-12-09,0,608,7733,981,51144,295,64947,1738,12002,2348,18272,20847,18172,84168,0,195866,3601,17286,44993
2022-03-09,2,1171,8180,1307,9092,2624,67609,1686,11536,7264,19300,26453,19015,22316,1240,206844,3699,17342,40739
2022-05-31,6,3791,13415,5505,40832,0,107587,1379,10931,1024,19779,38492,21128,113568,1829,252430,4605,15214,44893
2022-05-22,21,651,6955,1239,10227,0,72896,582,9616,5132,16538,23977,14844,23032,1455,174619,3006,12271,42763
2022-03-10,4,1298,7643,2715,8447,78,83629,3659,13989,3553,21699,32859,21325,25296,1449,230941,4540,18942,43580
2022-05-15,0,651,5577,3361,9978,0,46306,1642,11314,3528,14310,21163,13772,19523,1150,150661,2698,10935,38782
2022-06-24,13,6355,16542,7559,93160,0,147235,4220,10383,2265,20858,45443,21568,108112,1704,246999,4395,11129,41234
2022-02-23,17,671,12109,4468,10756,3261,132355,6326,16787,13797,25597,43062,24848,32396,2447,289874,4917,20089,61593
2022-04-09,4,1232,10153,4403,10850,0,150065,5334,12660,11903,18191,28513,18663,22732,1268,202964,3933,16801,42392
2022-06-14,10,6586,16824,8551,63656,0,193613,4002,10920,1455,19428,41964,21359,141400,2002,256836,4488,14168,34498
2022-04-30,19,704,5231,1598,12570,0,54458,884,16313,980,19161,26855,17398,24575,1653,192543,3392,13859,48089
2022-07-15,17,1034,9585,3545,57108,0,98675,3426,12097,4083,21023,42554,20433,140980,1784,218328,3204,12334,48203
2022-09-01,17,755,9225,2222,35944,0,80059,390,11257,6879,21117,39186,21967,122976,0,225745,3878,13966,52427
2022-09-10,15,1889,12418,976,65224,0,74973,1080,10310,3654,17709,32838,18406,108356,0,194052,3604,12863,41693
2022-08-21,5,1862,10718,2411,26444,0,76777,2200,9305,4450,14940,23423,15322,79592,0,150400,3286,11298,35207
